donor,year,deflator
Iceland,1996,59.48
Ireland,1996,63.37
Italy,1996,74.66
Japan,1996,134.22
Korea,1996,97.26
Lithuania,1996,
Luxembourg,1996,58.92
Netherlands,1996,74.15
New Zealand,1996,60.78
Norway,1996,45.83
Poland,1996,62.53
Portugal,1996,67.66
Slovak Republic,1996,44.66
Slovenia,1996,76.85
Spain,1996,73.63
Sweden,1996,93.27
Switzerland,1996,69.01
United Kingdom,1996,75.09
United States,1996,57.78
TOTAL DAC ,1996,76.85
EU Institutions,1996,77.91
Australia,1997,51.65
Austria,1997,68.39
Belgium,1997,67.08
Canada,1997,52.91
Czechia,1997,38.44
Denmark,1997,64.14
Estonia,1997,
Finland,1997,69.59
France,1997,75.13
Germany,1997,74.36
Greece,1997,84.58
Hungary,1997,51.38
Iceland,1997,57.43
Ireland,1997,62.7
Italy,1997,69.38
Japan,1997,121.3
Korea,1997,85.61
Lithuania,1997,
Luxembourg,1997,52.39
Netherlands,1997,65.72
New Zealand,1997,58.61
Norway,1997,43.01
Poland,1997,58.58
Portugal,1997,61.88
Slovak Republic,1997,42.67
Slovenia,1997,72.21
Spain,1997,65.21
Sweden,1997,83.11
Switzerland,1997,58.54
United Kingdom,1997,78.7
United States,1997,58.78
TOTAL DAC ,1997,72.21
EU Institutions,1997,70.57
Australia,1998,43.94
Austria,1998,67.7
Belgium,1998,67.28
Canada,1998,49.31
Czechia,1998,41.46
Denmark,1998,64.04
Estonia,1998,33.66
Finland,1998,69.62
France,1998,75.04
Germany,1998,73.79
Greece,1998,76.86
Hungary,1998,50.91
Iceland,1998,59.97
Ireland,1998,62.82
Italy,1998,69.68
Japan,1998,112.09
Korea,1998,60.7
Lithuania,1998,
Luxembourg,1998,50.57
Netherlands,1998,66.0
New Zealand,1998,47.98
Norway,1998,40.03
Poland,1998,61.06
Portugal,1998,62.47
Slovak Republic,1998,42.69
Slovenia,1998,70.93
Spain,1998,65.56
Sweden,1998,80.5
Switzerland,1998,58.45
United Kingdom,1998,80.62
United States,1998,59.44
TOTAL DAC ,1998,70.93
EU Institutions,1998,70.68
Australia,1999,45.71
Austria,1999,65.05
Belgium,1999,64.88
Canada,1999,50.18
Czechia,1999,39.87
Denmark,1999,62.47
Estonia,1999,34.36
Finland,1999,67.31
France,1999,72.06
Germany,1999,70.97
Greece,1999,78.1
Hungary,1999,49.75
Iceland,1999,60.99
Ireland,1999,62.47
Italy,1999,67.61
Japan,1999,127.23
Korea,1999,70.76
Lithuania,1999,
Luxembourg,1999,50.79
Netherlands,1999,64.17
New Zealand,1999,47.57
Norway,1999,41.31
Poland,1999,57.02
Portugal,1999,61.82
Slovak Republic,1999,38.99
Slovenia,1999,71.98
Spain,1999,64.3
Sweden,1999,78.18
Switzerland,1999,56.41
United Kingdom,1999,79.81
United States,1999,60.28
TOTAL DAC ,1999,71.98
EU Institutions,1999,68.05
Australia,2000,42.76
Austria,2000,57.02
Belgium,2000,57.25
Canada,2000,52.37
Czechia,2000,36.35
Denmark,2000,55.54
Estonia,2000,30.88
Finland,2000,59.18
France,2000,63.3
Germany,2000,61.09
Greece,2000,64.23
Hungary,2000,45.79
Iceland,2000,58.28
Ireland,2000,58.1
Italy,2000,59.52
Japan,2000,132.63
Korea,2000,75.03
Lithuania,2000,
Luxembourg,2000,45.96
Netherlands,2000,57.38
New Zealand,2000,41.78
Norway,2000,42.22
Poland,2000,55.82
Portugal,2000,55.3
Slovak Republic,2000,38.19
Slovenia,2000,69.45
Spain,2000,57.47
Sweden,2000,71.54
Switzerland,2000,50.9
United Kingdom,2000,75.52
United States,2000,61.64
TOTAL DAC ,2000,69.45
EU Institutions,2000,59.65
Australia,2001,39.47
Austria,2001,56.48
Belgium,2001,56.74
Canada,2001,51.06
Czechia,2001,38.74
Denmark,2001,55.34
Estonia,2001,32.03
Finland,2001,59.41
France,2001,62.75
Germany,2001,60.14
Greece,2001,63.06
Hungary,2001,50.1
Iceland,2001,51.14
Ireland,2001,60.24
Italy,2001,59.6
Japan,2001,116.4
Korea,2001,68.02
Lithuania,2001,37.84
Luxembourg,2001,45.01
Netherlands,2001,58.08
New Zealand,2001,40.3
Norway,2001,42.01
Poland,2001,61.39
Portugal,2001,55.74
Slovak Republic,2001,38.42
Slovenia,2001,65.59
Spain,2001,58.14
Sweden,2001,64.94
Switzerland,2001,51.42
United Kingdom,2001,72.94
United States,2001,63.03
TOTAL DAC ,2001,65.59
EU Institutions,2001,59.4
Australia,2002,42.73
Austria,2002,60.12
Belgium,2002,60.69
Canada,2002,50.98
Czechia,2002,46.23
Denmark,2002,59.78
Estonia,2002,35.32
Finland,2002,63.11
France,2002,67.4
Germany,2002,64.16
Greece,2002,68.58
Hungary,2002,60.26
Iceland,2002,57.74
Ireland,2002,66.85
Italy,2002,64.77
Japan,2002,111.39
Korea,2002,72.29
Lithuania,2002,41.34
Luxembourg,2002,48.05
Netherlands,2002,63.42
New Zealand,2002,44.68
Norway,2002,46.59
Poland,2002,62.95
Portugal,2002,61.11
Slovak Republic,2002,42.59
Slovenia,2002,67.69
Spain,2002,63.69
Sweden,2002,70.13
Switzerland,2002,55.59
United Kingdom,2002,77.6
United States,2002,64.01
TOTAL DAC ,2002,67.69
EU Institutions,2002,64.05
Australia,2003,52.5
Austria,2003,73.01
Belgium,2003,74.1
Canada,2003,59.03
Czechia,2003,54.49
Denmark,2003,72.73
Estonia,2003,43.93
Finland,2003,75.8
France,2003,82.3
Germany,2003,77.94
Greece,2003,85.06
Hungary,2003,72.93
Iceland,2003,69.3
Ireland,2003,82.41
Italy,2003,80.09
Japan,2003,118.39
Korea,2003,78.57
Lithuania,2003,49.22
Luxembourg,2003,58.87
Netherlands,2003,77.66
New Zealand,2003,56.82
Norway,2003,54.06
Poland,2003,66.49
Portugal,2003,75.77
Slovak Republic,2003,55.28
Slovenia,2003,76.16
Spain,2003,79.35
Sweden,2003,85.81
Switzerland,2003,65.1
United Kingdom,2003,86.47
United States,2003,65.27
TOTAL DAC ,2003,76.16
EU Institutions,2003,78.48
Australia,2004,61.72
Austria,2004,81.64
Belgium,2004,83.04
Canada,2004,65.59
Czechia,2004,62.07
Denmark,2004,81.56
Estonia,2004,50.72
Finland,2004,83.86
France,2004,91.96
Germany,2004,86.65
Greece,2004,96.4
Hungary,2004,84.84
Iceland,2004,77.74
Ireland,2004,91.34
Italy,2004,90.43
Japan,2004,125.51
Korea,2004,84.25
Lithuania,2004,55.62
Luxembourg,2004,66.72
Netherlands,2004,86.53
New Zealand,2004,67.13
Norway,2004,60.11
Poland,2004,74.29
Portugal,2004,85.32
Slovak Republic,2004,66.66
Slovenia,2004,82.31
Spain,2004,90.65
Sweden,2004,94.8
Switzerland,2004,70.68
United Kingdom,2004,99.58
United States,2004,67.03
TOTAL DAC ,2004,82.31
EU Institutions,2004,87.98
Australia,2005,66.86
Austria,2005,83.74
Belgium,2005,84.81
Canada,2005,72.63
Czechia,2005,66.64
Denmark,2005,83.81
Estonia,2005,53.75
Finland,2005,84.67
France,2005,93.77
Germany,2005,87.04
Greece,2005,98.6
Hungary,2005,88.42
Iceland,2005,89.45
Ireland,2005,94.02
Italy,2005,92.28
Japan,2005,121.75
Korea,2005,95.18
Lithuania,2005,59.58
Luxembourg,2005,69.97
Netherlands,2005,88.29
New Zealand,2005,73.16
Norway,2005,68.4
Poland,2005,86.17
Portugal,2005,88.2
Slovak Republic,2005,70.98
Slovenia,2005,83.93
Spain,2005,94.4
Sweden,2005,93.82
Switzerland,2005,71.14
United Kingdom,2005,101.69
United States,2005,69.13
TOTAL DAC ,2005,84.67
EU Institutions,2005,89.64
Australia,2006,69.4
Austria,2006,86.15
Belgium,2006,87.59
Canada,2006,79.58
Czechia,2006,71.14
Denmark,2006,86.31
Estonia,2006,59.06
Finland,2006,86.29
France,2006,96.74
Germany,2006,88.25
Greece,2006,103.06
Hungary,2006,86.91
Iceland,2006,87.39
Ireland,2006,97.81
Italy,2006,95.17
Japan,2006,114.17
Korea,2006,102.2
Lithuania,2006,64.13
Luxembourg,2006,75.21
Netherlands,2006,91.37
New Zealand,2006,69.09
Norway,2006,74.68
Poland,2006,91.21
Portugal,2006,91.91
Slovak Republic,2006,76.45
Slovenia,2006,86.61
Spain,2006,99.13
Sweden,2006,96.71
Switzerland,2006,72.24
United Kingdom,2006,105.81
United States,2006,71.26
TOTAL DAC ,2006,87.58
EU Institutions,2006,92.33
Australia,2007,80.53
Austria,2007,96.01
Belgium,2007,97.37
Canada,2007,86.78
Czechia,2007,82.0
Denmark,2007,96.54
Estonia,2007,72.62
Finland,2007,96.7
France,2007,108.21
Germany,2007,97.95
Greece,2007,116.24
Hungary,2007,105.03
Iceland,2007,99.47
Ireland,2007,108.09
Italy,2007,106.37
Japan,2007,112.02
Korea,2007,107.18
Lithuania,2007,75.91
Luxembourg,2007,83.6
Netherlands,2007,101.71
New Zealand,2007,81.71
Norway,2007,84.29
Poland,2007,106.17
Portugal,2007,103.21
Slovak Republic,2007,92.89
Slovenia,2007,98.42
Spain,2007,111.81
Sweden,2007,108.46
Switzerland,2007,77.25
United Kingdom,2007,117.65
United States,2007,73.19
TOTAL DAC ,2007,94.06
EU Institutions,2007,103.15
Australia,2008,84.53
Austria,2008,103.1
Belgium,2008,104.55
Canada,2008,90.16
Czechia,2008,97.84
Denmark,2008,105.88
Estonia,2008,82.47
Finland,2008,104.99
France,2008,116.72
Germany,2008,104.15
Greece,2008,127.8
Hungary,2008,115.09
Iceland,2008,78.58
Ireland,2008,113.22
Italy,2008,114.77
Japan,2008,126.33
Korea,2008,92.28
Lithuania,2008,89.15
Luxembourg,2008,93.92
Netherlands,2008,109.63
New Zealand,2008,79.86
Norway,2008,95.66
Poland,2008,124.9
Portugal,2008,110.64
Slovak Republic,2008,108.8
Slovenia,2008,108.34
Spain,2008,120.46
Sweden,2008,113.3
Switzerland,2008,85.76
United Kingdom,2008,109.99
United States,2008,74.6
TOTAL DAC ,2008,98.53
EU Institutions,2008,110.86
Australia,2009,80.27
Austria,2009,101.41
Belgium,2009,101.48
Canada,2009,83.0
Czechia,2009,91.69
Denmark,2009,102.88
Estonia,2009,77.82
Finland,2009,103.16
France,2009,112.75
Germany,2009,102.4
Greece,2009,126.56
Hungary,2009,104.54
Iceland,2009,64.2
Ireland,2009,104.75
Italy,2009,112.66
Japan,2009,139.2
Korea,2009,83.31
Lithuania,2009,81.84
Luxembourg,2009,91.49
Netherlands,2009,106.07
New Zealand,2009,72.85
Norway,2009,82.51
Poland,2009,101.98
Portugal,2009,107.99
Slovak Republic,2009,107.73
Slovenia,2009,108.15
Spain,2009,116.47
Sweden,2009,101.48
Switzerland,2009,87.16
United Kingdom,2009,96.75
United States,2009,75.06
TOTAL DAC ,2009,94.88
EU Institutions,2009,108.0
Australia,2010,99.41
Austria,2010,97.3
Belgium,2010,98.35
Canada,2010,94.55
Czechia,2010,89.96
Denmark,2010,101.0
Estonia,2010,75.7
Finland,2010,98.43
France,2010,108.4
Germany,2010,98.02
Greece,2010,120.16
Hungary,2010,103.92
Iceland,2010,68.91
Ireland,2010,97.26
Italy,2010,107.63
Japan,2010,145.36
Korea,2010,94.37
Lithuania,2010,79.93
Luxembourg,2010,91.01
Netherlands,2010,101.81
New Zealand,2010,86.37
Norway,2010,90.81
Poland,2010,106.74
Portugal,2010,103.38
Slovak Republic,2010,103.01
Slovenia,2010,101.81
Spain,2010,110.95
Sweden,2010,108.63
Switzerland,2010,90.89
United Kingdom,2010,97.18
United States,2010,75.98
TOTAL DAC ,2010,95.92
EU Institutions,2010,103.39
Australia,2011,117.12
Austria,2011,104.01
Belgium,2011,105.11
Canada,2011,101.66
Czechia,2011,97.11
Denmark,2011,106.6
Estonia,2011,83.99
Finland,2011,106.04
France,2011,114.87
Germany,2011,104.01
Greece,2011,127.35
Hungary,2011,109.54
Iceland,2011,74.83
Ireland,2011,103.6
Italy,2011,114.8
Japan,2011,157.45
Korea,2011,99.74
Lithuania,2011,88.45
Luxembourg,2011,99.22
Netherlands,2011,107.11
New Zealand,2011,97.36
Norway,2011,104.47
Poland,2011,111.94
Portugal,2011,108.23
Slovak Republic,2011,109.95
Slovenia,2011,107.99
Spain,2011,116.45
Sweden,2011,121.87
Switzerland,2011,106.8
United Kingdom,2011,103.08
United States,2011,77.54
TOTAL DAC ,2011,101.61
EU Institutions,2011,109.69
Australia,2012,116.69
Austria,2012,98.1
Belgium,2012,99.07
Canada,2012,101.86
Czechia,2012,89.11
Denmark,2012,101.04
Estonia,2012,80.76
Finland,2012,100.95
France,2012,107.42
Germany,2012,97.58
Greece,2012,117.4
Hungary,2012,100.72
Iceland,2012,71.8
Ireland,2012,97.45
Italy,2012,107.77
Japan,2012,156.05
Korea,2012,99.31
Lithuania,2012,83.6
Luxembourg,2012,93.99
Netherlands,2012,100.44
New Zealand,2012,99.54
Norway,2012,104.07
Poland,2012,104.24
Portugal,2012,99.67
Slovak Republic,2012,102.92
Slovenia,2012,100.3
Spain,2012,107.52
Sweden,2012,117.92
Switzerland,2012,101.13
United Kingdom,2012,103.46
United States,2012,78.99
TOTAL DAC ,2012,99.09
EU Institutions,2012,102.68
Australia,2013,110.18
Austria,2013,102.95
Belgium,2013,103.63
Canada,2013,100.51
Czechia,2013,90.23
Denmark,2013,105.07
Estonia,2013,86.87
Finland,2013,106.94
France,2013,111.82
Germany,2013,102.78
Greece,2013,118.79
Hungary,2013,104.15
Iceland,2013,75.1
Ireland,2013,101.3
Italy,2013,112.59
Japan,2013,127.17
Korea,2013,103.19
Lithuania,2013,87.8
Luxembourg,2013,99.44
Netherlands,2013,105.09
New Zealand,2013,104.1
Norway,2013,105.58
Poland,2013,107.58
Portugal,2013,105.26
Slovak Republic,2013,106.85
Slovenia,2013,105.26
Spain,2013,111.5
Sweden,2013,123.71
Switzerland,2013,102.2
United Kingdom,2013,104.24
United States,2013,80.33
TOTAL DAC ,2013,100.33
EU Institutions,2013,107.37
Australia,2014,103.27
Austria,2014,105.09
Belgium,2014,104.58
Canada,2014,95.55
Czechia,2014,87.21
Denmark,2014,106.12
Estonia,2014,89.49
Finland,2014,108.61
France,2014,112.39
Germany,2014,104.63
Greece,2014,116.41
Hungary,2014,103.78
Iceland,2014,81.87
Ireland,2014,101.97
Italy,2014,113.55
Japan,2014,119.23
Korea,2014,108.24
Lithuania,2014,88.57
Luxembourg,2014,102.5
Netherlands,2014,105.28
New Zealand,2014,107.73
Norway,2014,98.73
Poland,2014,108.33
Portugal,2014,105.93
Slovak Republic,2014,106.57
Slovenia,2014,105.67
Spain,2014,111.18
Sweden,2014,119.47
Switzerland,2014,102.86
United Kingdom,2014,111.21
United States,2014,81.73
TOTAL DAC ,2014,100.47
EU Institutions,2014,108.33
Australia,2015,85.48
Austria,2015,89.86
Belgium,2015,88.6
Canada,2015,81.85
Czechia,2015,74.34
Denmark,2015,89.04
Estonia,2015,75.28
Finland,2015,92.27
France,2015,95.03
Germany,2015,89.1
Greece,2015,97.04
Hungary,2015,88.87
Iceland,2015,76.82
Ireland,2015,94.26
Italy,2015,95.81
Japan,2015,106.5
Korea,2015,103.96
Lithuania,2015,74.03
Luxembourg,2015,87.81
Netherlands,2015,88.72
New Zealand,2015,90.87
Norway,2015,74.99
Poland,2015,91.77
Portugal,2015,90.35
Slovak Republic,2015,88.91
Slovenia,2015,89.24
Spain,2015,93.46
Sweden,2015,99.34
Switzerland,2015,96.58
United Kingdom,2015,103.89
United States,2015,82.49
TOTAL DAC ,2015,90.86
EU Institutions,2015,91.88
Australia,2016,85.43
Austria,2016,91.23
Belgium,2016,90.02
Canada,2016,79.54
Czechia,2016,75.66
Denmark,2016,89.2
Estonia,2016,76.75
Finland,2016,92.07
France,2016,95.24
Germany,2016,90.0
Greece,2016,96.18
Hungary,2016,89.3
Iceland,2016,85.76
Ireland,2016,93.7
Italy,2016,96.6
Japan,2016,118.93
Korea,2016,103.35
Lithuania,2016,74.97
Luxembourg,2016,86.37
Netherlands,2016,88.85
New Zealand,2016,92.37
Norway,2016,70.84
Poland,2016,87.87
Portugal,2016,91.62
Slovak Republic,2016,88.18
Slovenia,2016,89.74
Spain,2016,93.47
Sweden,2016,99.4
Switzerland,2016,93.77
United Kingdom,2016,93.57
United States,2016,83.27
TOTAL DAC ,2016,90.26
EU Institutions,2016,92.41
Australia,2017,91.19
Austria,2017,93.91
Belgium,2017,93.44
Canada,2017,83.29
Czechia,2017,80.1
Denmark,2017,92.02
Estonia,2017,81.23
Finland,2017,94.62
France,2017,97.59
Germany,2017,93.13
Greece,2017,98.32
Hungary,2017,95.28
Iceland,2017,97.9
Ireland,2017,96.15
Italy,2017,99.19
Japan,2017,115.27
Korea,2017,108.45
Lithuania,2017,79.66
Luxembourg,2017,90.14
Netherlands,2017,91.75
New Zealand,2017,97.28
Norway,2017,74.89
Poland,2017,93.2
Portugal,2017,94.81
Slovak Republic,2017,90.98
Slovenia,2017,92.82
Spain,2017,96.52
Sweden,2017,101.57
Switzerland,2017,93.46
United Kingdom,2017,90.94
United States,2017,84.77
TOTAL DAC ,2017,92.15
EU Institutions,2017,95.24
Australia,2018,90.9
Austria,2018,100.11
Belgium,2018,99.35
Canada,2018,84.77
Czechia,2018,88.41
Denmark,2018,96.94
Estonia,2018,89.08
Finland,2018,101.05
France,2018,103.19
Germany,2018,99.46
Greece,2018,102.77
Hungary,2018,101.47
Iceland,2018,99.14
Ireland,2018,101.85
Italy,2018,104.96
Japan,2018,117.09
Korea,2018,111.99
Lithuania,2018,86.35
Luxembourg,2018,95.98
Netherlands,2018,98.36
New Zealand,2018,96.05
Norway,2018,81.27
Poland,2018,98.74
Portugal,2018,101.06
Slovak Republic,2018,97.19
Slovenia,2018,99.23
Spain,2018,102.31
Sweden,2018,102.27
Switzerland,2018,94.84
United Kingdom,2018,96.01
United States,2018,86.71
TOTAL DAC ,2018,96.08
EU Institutions,2018,101.24
Australia,2019,87.28
Austria,2019,96.47
Belgium,2019,95.9
Canada,2019,84.09
Czechia,2019,87.04
Denmark,2019,92.73
Estonia,2019,87.66
Finland,2019,97.28
France,2019,99.12
Germany,2019,96.35
Greece,2019,97.72
Hungary,2019,98.87
Iceland,2019,91.42
Ireland,2019,99.58
Italy,2019,100.48
Japan,2019,119.33
Korea,2019,104.85
Lithuania,2019,84.17
Luxembourg,2019,91.61
Netherlands,2019,96.1
New Zealand,2019,93.69
Norway,2019,74.73
Poland,2019,95.72
Portugal,2019,97.54
Slovak Republic,2019,94.49
Slovenia,2019,96.28
Spain,2019,98.45
Sweden,2019,96.37
Switzerland,2019,93.23
United Kingdom,2019,93.8
United States,2019,88.16
TOTAL DAC ,2019,94.4
EU Institutions,2019,97.67
Australia,2020,87.11
Austria,2020,100.85
Belgium,2020,99.19
Canada,2020,83.72
Czechia,2020,89.7
Denmark,2020,97.3
Estonia,2020,88.23
Finland,2020,100.65
France,2020,103.78
Germany,2020,99.92
Greece,2020,98.65
Hungary,2020,99.26
Iceland,2020,86.14
Ireland,2020,101.02
Italy,2020,103.91
Japan,2020,123.04
Korea,2020,105.15
Lithuania,2020,87.31
Luxembourg,2020,97.61
Netherlands,2020,99.71
New Zealand,2020,94.24
Norway,2020,68.09
Poland,2020,98.3
Portugal,2020,101.28
Slovak Republic,2020,98.47
Slovenia,2020,99.11
Spain,2020,101.36
Sweden,2020,100.95
Switzerland,2020,97.95
United Kingdom,2020,99.06
United States,2020,89.33
TOTAL DAC ,2020,97.29
EU Institutions,2020,101.29
Australia,2021,100.33
Austria,2021,106.81
Belgium,2021,106.2
Canada,2021,96.88
Czechia,2021,99.22
Denmark,2021,104.12
Estonia,2021,96.81
Finland,2021,106.71
France,2021,109.23
Germany,2021,106.82
Greece,2021,104.49
Hungary,2021,107.34
Iceland,2021,97.83
Ireland,2021,105.47
Italy,2021,109.2
Japan,2021,119.4
Korea,2021,111.42
Lithuania,2021,96.53
Luxembourg,2021,105.9
Netherlands,2021,106.51
New Zealand,2021,105.8
Norway,2021,87.36
Poland,2021,104.69
Portugal,2021,107.1
Slovak Republic,2021,104.62
Slovenia,2021,105.61
Spain,2021,107.98
Sweden,2021,111.25
Switzerland,2021,101.87
United Kingdom,2021,106.11
United States,2021,93.42
TOTAL DAC ,2021,103.1
EU Institutions,2021,107.5
Australia,2022,100.0
Austria,2022,100.0
Belgium,2022,100.0
Canada,2022,100.0
Czechia,2022,100.0
Denmark,2022,100.0
Estonia,2022,100.0
Finland,2022,100.0
France,2022,100.0
Germany,2022,100.0
Greece,2022,100.0
Hungary,2022,100.0
Iceland,2022,100.0
Ireland,2022,100.0
Italy,2022,100.0
Japan,2022,100.0
Korea,2022,100.0
Lithuania,2022,100.0
Luxembourg,2022,100.0
Netherlands,2022,100.0
New Zealand,2022,100.0
Norway,2022,100.0
Poland,2022,100.0
Portugal,2022,100.0
Slovak Republic,2022,100.0
Slovenia,2022,100.0
Spain,2022,100.0
Sweden,2022,100.0
Switzerland,2022,100.0
United Kingdom,2022,100.0
United States,2022,100.0
TOTAL DAC ,2022,100.0
EU Institutions,2022,100.0
Australia,2023,99.24
Austria,2023,110.34
Belgium,2023,106.91
Canada,2023,97.67
Czechia,2023,114.34
Denmark,2023,101.15
Estonia,2023,111.84
Finland,2023,107.47
France,2023,108.25
Germany,2023,109.31
Greece,2023,108.58
Hungary,2023,119.34
Iceland,2023,104.48
Ireland,2023,106.5
Italy,2023,107.15
Japan,2023,96.82
Korea,2023,100.8
Lithuania,2023,111.4
Luxembourg,2023,111.45
Netherlands,2023,110.36
New Zealand,2023,102.52
Norway,2023,82.12
Poland,2023,117.48
Portugal,2023,110.06
Slovak Republic,2023,111.57
Slovenia,2023,112.13
Spain,2023,108.47
Sweden,2023,100.62
Switzerland,2023,107.4
United Kingdom,2023,108.17
United States,2023,103.76
TOTAL DAC ,2023,104.35
EU Institutions,2023,108.63
